subject,gender,heights,arm_lengths,crotch_heights,chest_circumferences,hip_circumferences,waist_circumferences
csr0217a.ply,0,1879.6,663,805.0,1227,1182.0,1224.0
csr0218a.ply,0,1727.2,612,732.0,947,1005.0,802.0
csr0219a.ply,1,1752.6,584,832.0,914,1097.0,720.0
csr0220a.ply,0,1778.0,640,799.0,1289,1122.0,1068.0
csr0222a.ply,1,1778.0,598,810.0,972,993.0,721.0
csr0223a.ply,0,1778.0,612,803.0,993,1034.0,841.0
csr0224a.ply,1,1676.4,539,750.0,878,989.0,630.0
csr0225a.ply,1,1524.0,565,695.0,981,943.0,765.0
csr0226a.ply,1,1600.2,579,708.0,1173,1106.0,1063.0
csr0227a.ply,0,1778.0,601,764.0,960,984.0,795.0
csr0228a.ply,0,1879.6,660,842.0,940,965.0,794.0
csr0229a.ply,0,1778.0,651,807.0,1056,1020.0,852.0
csr0231a.ply,1,1574.8,548,714.0,909,1021.0,797.0
csr0232a.ply,0,1727.2,633,806.0,935,984.0,801.0
csr0233a.ply,1,1689.1,569,769.0,932,975.0,712.0
csr0234a.ply,0,1625.6,560,716.0,906,963.0,761.0
csr0235a.ply,1,1701.8,584,758.0,943,1128.0,784.0
csr0236a.ply,1,1625.6,558,749.0,1027,994.0,820.0
csr0237a.ply,0,1778.0,630,796.0,1146,1111.0,1040.0
csr0238a.ply,0,1803.4,647,814.0,957,1024.0,859.0
csr0239a.ply,1,1727.2,613,772.0,964,1039.0,790.0
csr0240a.ply,0,1727.2,622,776.0,892,983.0,825.0
csr0241a.ply,1,1574.8,537,704.0,900,985.0,792.0
csr0242a.ply,0,1803.4,609,784.0,1049,1003.0,943.0
csr0243a.ply,1,1600.2,549,711.0,872,969.0,600.0
csr0244a.ply,1,1638.3,548,712.0,820,939.0,754.0
csr0245a.ply,0,1854.2,664,815.0,1009,1036.0,914.0
csr0246a.ply,0,1803.4,630,807.0,1062,1086.0,937.0
csr0247a.ply,0,1778.0,603,759.0,1062,1039.0,942.0
csr0249a.ply,1,1498.6,530,687.0,897,949.0,714.0
csr0250a.ply,0,1854.2,670,824.0,1206,1179.0,1094.0
csr0251a.ply,0,1727.2,623,768.0,992,1017.0,845.0
csr0252a.ply,1,1663.7,593,762.0,965,1063.0,736.0
csr0253a.ply,0,1600.2,565,675.0,974,1055.0,915.0
csr0254a.ply,1,1651.0,575,724.0,918,1166.0,770.0
csr0255a.ply,0,1752.6,613,798.0,952,960.0,809.0
csr0256a.ply,1,1651.0,578,779.0,878,969.0,702.0
csr0257a.ply,1,1549.4,563,712.0,970,986.0,800.0
csr0258a.ply,1,1587.5,549,693.0,860,1020.0,679.0
csr0259a.ply,0,1828.8,665,843.0,1079,1156.0,991.0
csr0260a.ply,1,1600.2,559,763.0,905,920.0,717.0
csr0261a.ply,0,1771.65,607,785.0,998,924.0,771.0
csr0263a.ply,0,1790.7,643,786.0,1005,1011.0,877.0
csr0264a.ply,0,1905.0,674,876.0,1014,1044.0,915.0
csr0265a.ply,1,1651.0,552,761.0,904,986.0,715.0
csr0266a.ply,0,1854.2,671,818.0,1149,1152.0,1033.0
csr0267a.ply,0,1828.8,645,811.0,1139,1120.0,993.0
csr0268a.ply,1,1676.4,602,774.0,968,1076.0,765.0
csr0269a.ply,1,1625.6,583,750.0,1091,1141.0,885.0
csr0270a.ply,1,1600.2,545,690.0,1009,1032.0,870.0
csr0271a.ply,0,1828.8,651,816.0,1071,1093.0,874.0
csr0272a.ply,0,1803.4,650,774.0,1022,1072.0,1033.0
csr0273a.ply,0,1701.8,605,757.0,883,961.0,782.0
csr0274a.ply,0,1778.0,619,761.0,961,976.0,843.0
csr0275a.ply,0,1727.2,622,764.0,939,983.0,839.0
csr0276a.ply,0,1752.6,628,770.0,1039,976.0,856.0
csr0277a.ply,1,1733.55,619,844.0,871,989.0,665.0
csr0278a.ply,0,1778.0,634,786.0,1026,1071.0,929.0
csr0279a.ply,0,1701.8,579,759.0,962,954.0,754.0
csr0280a.ply,0,1549.4,552,670.0,926,966.0,812.0
csr0281a.ply,0,1879.6,630,860.0,1036,1040.0,890.0
csr0282a.ply,0,1701.8,577,725.0,1002,1134.0,894.0
csr0283a.ply,1,1625.6,548,731.0,828,1009.0,648.0
csr0285a.ply,0,1828.8,640,803.0,994,1044.0,787.0
csr0286a.ply,1,1676.4,577,789.0,989,1019.0,746.0
csr0287a.ply,0,1752.6,631,749.0,1102,1121.0,1030.0
csr0288a.ply,1,1549.4,502,678.0,826,888.0,616.0
csr0289a.ply,0,1905.0,661,867.0,1107,1127.0,1016.0
csr0290a.ply,1,1574.8,530,674.0,920,899.0,764.0
csr0293a.ply,0,1841.5,667,781.0,1108,1074.0,919.0
csr0295a.ply,0,1676.4,615,719.0,997,1010.0,881.0
csr0297a.ply,0,1879.6,681,856.0,1129,1078.0,935.0
csr0298a.ply,1,1727.2,596,785.0,945,1068.0,763.0
csr0299a.ply,0,1828.8,659,842.0,1014,967.0,805.0
csr0300a.ply,0,1930.4,715,891.0,945,989.0,823.0
csr0301a.ply,0,1701.8,609,751.0,999,972.0,837.0
csr0303a.ply,0,1828.8,677,846.0,1042,1076.0,926.0
csr0304a.ply,1,1625.6,554,700.0,865,955.0,654.0
csr0305a.ply,0,1676.4,601,701.0,985,979.0,805.0
csr0306a.ply,0,1778.0,633,741.0,1314,1189.0,1311.0
csr0307a.ply,1,1574.8,512,703.0,868,971.0,684.0
csr0309a.ply,1,1549.4,541,695.0,871,987.0,670.0
csr0310a.ply,1,1574.8,511,704.0,846,891.0,650.0
csr0311a.ply,0,1803.4,648,833.0,1009,983.0,882.0
csr0313a.ply,0,1803.4,646,806.0,1021,1075.0,984.0
csr0314a.ply,0,1752.6,583,763.0,979,1035.0,786.0
csr0315a.ply,0,1854.2,651,870.0,1085,1054.0,903.0
csr0316a.ply,0,1778.0,627,794.0,1059,1054.0,935.0
csr0317a.ply,1,1644.65,568,768.0,952,1139.0,764.0
csr0318a.ply,0,1651.0,586,712.0,992,999.0,856.0
csr0319a.ply,0,1905.0,692,872.0,1017,1069.0,911.0
csr0320a.ply,0,1727.2,605,746.0,1039,1000.0,856.0
csr0321a.ply,1,1625.6,565,750.0,923,998.0,708.0
csr0324a.ply,0,1778.0,628,806.0,1042,1081.0,899.0
csr0327a.ply,1,1536.7,570,656.0,1100,1179.0,975.0
csr0328a.ply,0,1778.0,622,776.0,1006,999.0,911.0
csr0330a.ply,0,1778.0,628,806.0,1042,1081.0,899.0
csr0372a.ply,0,1803.4,648,804.0,1184,1086.0,998.0
csr0373a.ply,0,1752.6,606,745.0,1118,1060.0,886.0
csr0375a.ply,0,1905.0,686,836.0,1037,1064.0,854.0
csr0377a.ply,1,1727.2,583,792.0,1024,1068.0,819.0
csr0378a.ply,1,1625.6,555,740.0,865,972.0,730.0
csr0379a.ply,1,1549.4,594,727.0,899,1034.0,660.0
csr0380a.ply,1,1625.6,585,750.0,1006,1055.0,817.0
csr0381a.ply,1,1574.8,536,730.0,832,960.0,680.0
csr0382a.ply,1,1676.4,596,785.0,866,935.0,770.0
csr0383a.ply,1,1676.4,572,751.0,855,995.0,710.0
csr0384a.ply,1,1600.2,580,734.0,885,945.0,702.0
csr0385a.ply,1,1562.1,573,736.0,925,989.0,765.0
csr0386a.ply,1,1549.4,540,721.0,1038,930.0,742.0
csr0387a.ply,1,1473.2,537,683.0,965,990.0,760.0
csr0388a.ply,0,1841.5,653,841.0,1080,1088.0,906.0
csr0389a.ply,0,1968.5,689,915.0,1113,1109.0,948.0
csr0390a.ply,0,1803.4,662,797.0,1019,1023.0,849.0
csr0391a.ply,0,1803.4,648,826.0,989,1019.0,859.0
csr0392a.ply,1,1701.8,561,764.0,860,1055.0,644.0
csr0393a.ply,1,1663.7,561,739.0,975,1059.0,755.0
csr0394a.ply,0,1752.6,633,777.0,1034,999.0,896.0
csr0395a.ply,0,1803.4,641,782.0,985,1046.0,948.0
csr0396a.ply,0,1828.8,645,818.0,1013,1012.0,831.0
csr0397a.ply,0,1866.9,662,823.0,1054,1069.0,995.0
csr0398a.ply,0,1778.0,635,825.0,1001,1015.0,812.0
csr0399a.ply,1,1625.6,579,740.0,954,1057.0,790.0
csr0400a.ply,1,1562.1,565,725.0,955,995.0,705.0
csr0401a.ply,1,1879.6,658,900.0,935,1130.0,870.0
csr0402a.ply,1,1752.6,594,829.0,901,1010.0,690.0
csr0403a.ply,0,1778.0,666,819.0,1177,1119.0,1025.0
csr0404a.ply,1,1549.4,540,700.0,950,1109.0,745.0
csr0405a.ply,0,1727.2,619,749.0,1212,1082.0,1097.0
csr0407a.ply,1,1574.8,543,689.0,895,1035.0,666.0
csr0408a.ply,1,1574.8,558,728.0,867,940.0,664.0
csr0409a.ply,1,1574.8,548,694.0,977,1085.0,812.0
csr0410a.ply,0,1701.8,606,756.0,900,972.0,787.0
csr0411a.ply,0,1879.6,668,871.0,1012,1035.0,879.0
csr0412a.ply,1,1663.7,580,773.0,900,985.0,807.0
csr0413a.ply,1,1701.8,581,790.0,1056,1040.0,927.0
csr0414a.ply,0,1854.2,659,823.0,1011,1024.0,844.0
csr0415a.ply,0,1854.2,658,811.0,1126,1114.0,972.0
csr0416a.ply,1,1752.6,608,807.0,930,1093.0,745.0
csr0417a.ply,1,1676.4,565,760.0,1044,1060.0,850.0
csr0418a.ply,1,1727.2,580,764.0,909,1085.0,815.0
csr0419a.ply,0,1727.2,603,784.0,961,936.0,801.0
csr0420a.ply,0,1727.2,613,777.0,955,955.0,822.0
csr0421a.ply,0,1778.0,601,774.0,1014,1019.0,804.0
csr0422a.ply,0,1854.2,660,847.0,1007,1082.0,921.0
csr0425a.ply,0,1803.4,619,813.0,852,900.0,720.0
csr0426a.ply,0,1739.9,626,758.0,1152,1051.0,927.0
csr0427a.ply,0,1828.8,641,826.0,980,993.0,804.0
csr0428a.ply,0,1879.6,662,854.0,1044,1062.0,876.0
csr0429a.ply,0,1905.0,679,869.0,979,1065.0,872.0
csr0430a.ply,0,1524.0,647,774.0,1169,1140.0,1022.0
csr0431a.ply,0,1816.1,626,804.0,1121,1181.0,992.0
csr0432a.ply,0,1854.2,658,831.0,1021,1069.0,881.0
csr0433a.ply,0,1752.6,659,809.0,1078,1116.0,943.0
csr0434a.ply,1,1651.0,589,755.0,928,980.0,782.0
csr0435a.ply,0,1765.3,653,824.0,963,956.0,838.0
csr0436a.ply,0,1752.6,612,822.0,941,950.0,801.0
csr0437a.ply,0,1879.6,667,776.0,1224,1194.0,1052.0
csr0438a.ply,1,1600.2,588,710.0,1042,1200.0,910.0
csr0439a.ply,1,1625.6,597,751.0,860,979.0,695.0
csr0440a.ply,0,1905.0,687,889.0,980,1025.0,885.0
csr0441a.ply,0,1765.3,623,787.0,919,892.0,744.0
csr0442a.ply,0,1701.8,576,704.0,991,1015.0,786.0
csr0443a.ply,0,1778.0,649,805.0,963,1069.0,852.0
csr0444a.ply,0,1828.8,643,796.0,1111,1072.0,1042.0
csr0445a.ply,0,1828.8,641,765.0,1204,1207.0,1151.0
csr0446a.ply,0,1822.45,651,806.0,1114,1130.0,1134.0
csr0447a.ply,0,1828.8,653,829.0,980,1019.0,827.0
csr0448a.ply,0,1828.8,660,805.0,1154,1123.0,1034.0
csr0449a.ply,0,1701.8,589,758.0,974,969.0,860.0
csr0450a.ply,0,1828.8,664,821.0,1076,1056.0,891.0
csr0451a.ply,0,1828.8,631,835.0,1005,1060.0,918.0
csr0452a.ply,1,1625.6,553,730.0,1035,1098.0,740.0
csr0453a.ply,0,1727.2,653,781.0,1076,1061.0,891.0
csr0454a.ply,0,1879.6,654,826.0,1107,1123.0,923.0
csr0455a.ply,0,1765.3,634,781.0,1014,981.0,873.0
csr0456a.ply,0,1828.8,639,819.0,1113,1112.0,894.0
csr0457a.ply,0,1854.2,675,843.0,1092,1052.0,1060.0
csr0460a.ply,0,1727.2,614,761.0,1004,1023.0,905.0
csr0461a.ply,1,1701.8,573,769.0,969,1058.0,812.0
csr0462a.ply,0,1930.4,702,875.0,1155,1112.0,1001.0
csr0463a.ply,0,1828.8,652,820.0,939,1043.0,865.0
csr0464a.ply,1,1587.5,539,722.0,875,895.0,615.0
csr0465a.ply,1,1651.0,571,765.0,1030,1030.0,800.0
csr0466a.ply,0,1828.8,676,849.0,1052,1059.0,1026.0
csr0467a.ply,0,1727.2,616,754.0,940,972.0,791.0
csr0468a.ply,1,1600.2,551,726.0,789,882.0,631.0
csr0469a.ply,1,1625.6,559,734.0,985,1147.0,866.0
csr0470a.ply,0,1739.9,641,766.0,1032,994.0,888.0
csr0471a.ply,0,1803.4,630,798.0,1169,1171.0,1129.0
csr0472a.ply,1,1625.6,555,724.0,961,1025.0,775.0
csr0473a.ply,1,1701.8,599,798.0,866,951.0,684.0
csr0474a.ply,0,1625.6,565,673.0,1017,997.0,901.0
csr0475a.ply,1,1638.3,588,756.0,831,964.0,651.0
csr0476a.ply,1,1689.1,589,758.0,970,1064.0,755.0
csr0478a.ply,0,1752.6,606,774.0,934,935.0,789.0
csr0479a.ply,0,1651.0,586,726.0,976,993.0,836.0
csr0480a.ply,1,1581.15,570,742.0,807,911.0,630.0
csr0481a.ply,0,1816.1,644,836.0,1055,1062.0,885.0
csr0482a.ply,1,1625.6,565,764.0,807,921.0,632.0
csr0483a.ply,1,1625.6,572,751.0,881,969.0,660.0
csr0484a.ply,1,1625.6,520,704.0,855,988.0,695.0
csr0485a.ply,0,1803.4,645,848.0,999,1039.0,852.0
csr0486a.ply,0,1828.8,638,827.0,1050,1052.0,925.0
csr0487a.ply,0,1727.2,615,760.0,966,1031.0,906.0
csr0488a.ply,0,1828.8,642,800.0,1034,1067.0,924.0
csr0489a.ply,1,1828.8,633,829.0,1370,1380.0,1150.0
csr0490a.ply,1,1651.0,568,753.0,868,989.0,641.0
csr0491a.ply,0,1790.7,650,815.0,984,976.0,878.0
csr0492a.ply,0,1803.4,620,759.0,1144,1142.0,1052.0
csr0493a.ply,0,1803.4,644,790.0,1071,1128.0,1003.0
csr0494a.ply,0,1803.4,631,772.0,1177,1167.0,996.0
csr0496a.ply,0,1727.2,672,788.0,979,958.0,852.0
csr0497a.ply,0,1854.2,630,844.0,804,873.0,723.0
csr0498a.ply,0,1701.8,630,721.0,1164,1103.0,1010.0
csr0499a.ply,1,1778.0,635,816.0,960,1000.0,820.0
csr0500a.ply,0,1752.6,638,770.0,1066,1010.0,909.0
csr0501a.ply,0,1778.0,639,778.0,1143,1052.0,946.0
csr0502a.ply,0,1828.8,631,812.0,792,910.0,755.0
csr0503a.ply,1,1828.8,530,686.0,950,970.0,786.0
csr0504a.ply,0,1701.8,625,714.0,1194,1153.0,1145.0
csr0505a.ply,0,1778.0,625,797.0,968,947.0,796.0
csr0506a.ply,0,1828.8,640,770.0,1126,1050.0,978.0
csr0507a.ply,0,1727.2,618,772.0,1052,1054.0,939.0
csr0509a.ply,0,1727.2,629,766.0,1018,984.0,882.0
csr0511a.ply,0,1949.45,716,948.0,1016,1060.0,892.0
csr0512a.ply,0,1727.2,612,731.0,1102,1081.0,908.0
csr0513a.ply,0,1778.0,678,827.0,962,1038.0,866.0
csr0514a.ply,0,1778.0,636,773.0,1029,1014.0,903.0
csr0515a.ply,0,1778.0,618,791.0,976,1052.0,799.0
csr0517a.ply,0,1828.8,651,711.0,1574,1616.0,1653.0
csr0518a.ply,0,1854.2,665,801.0,1093,1066.0,1003.0
csr0519a.ply,1,1727.2,581,794.0,866,955.0,702.0
csr0520a.ply,0,1828.8,619,791.0,1056,1097.0,1012.0
csr0521a.ply,0,1905.0,672,856.0,1158,1211.0,1095.0
csr0522a.ply,1,1701.8,608,807.0,890,1010.0,669.0
csr0523a.ply,0,1752.6,607,781.0,967,1014.0,877.0
csr0524a.ply,0,1879.6,649,861.0,1054,1043.0,914.0
csr0525a.ply,0,1778.0,616,753.0,1235,1193.0,1089.0
csr0526a.ply,0,1854.2,640,829.0,998,895.0,825.0
csr0527a.ply,0,1651.0,617,755.0,964,1033.0,817.0
csr0529a.ply,0,1905.0,683,872.0,1053,993.0,882.0
csr0530a.ply,1,1625.6,600,756.0,900,965.0,650.0
csr0532a.ply,0,1778.0,630,761.0,1035,1042.0,888.0
csr0533a.ply,0,1828.8,648,833.0,1061,1027.0,914.0
csr0534a.ply,0,1752.6,604,771.0,970,991.0,843.0
csr0536a.ply,0,1676.4,610,722.0,1026,1048.0,992.0
csr0537a.ply,0,1854.2,682,832.0,1026,990.0,849.0
